,date,name,budget,domesticgross,worldwidegross,Total,Result
184,2/7/2014,The Monuments Men,"$70,000,000","$78,031,620","$158,702,748",236734368.0,Profit
185,9/23/2016,Storks,"$70,000,000","$72,679,278","$174,102,281",246781559.0,Profit
186,9/22/2017,The Lego Ninjago Movie,"$70,000,000","$59,281,555","$122,780,244",182061799.0,Profit
187,10/10/2014,Dracula Untold,"$70,000,000","$55,991,880","$220,241,723",276233603.0,Profit
188,6/8/2018,Oceanâs 8,"$70,000,000","$41,500,000","$53,700,000",95200000.0,Profit
189,1/29/2016,The Finest Hours,"$70,000,000","$27,569,558","$49,252,761",76822319.0,Profit
190,10/18/2013,Escape Plan,"$70,000,000","$25,135,965","$103,735,965",128871930.0,Profit
191,1/10/2014,The Legend of Hercules,"$70,000,000","$18,848,538","$58,953,319",77801857.0,Profit
192,5/9/2014,Legends of Oz: Dorothyâs Return,"$70,000,000","$8,462,347","$20,107,933",28570280.0,Loss
193,1/16/2015,Blackhat,"$70,000,000","$8,005,980","$19,665,004",27670984.0,Loss
194,3/2/2018,Red Sparrow,"$69,000,000","$46,874,505","$145,966,386",192840891.0,Profit
195,6/26/2015,Ted 2,"$68,000,000","$81,476,385","$217,214,143",298690528.0,Profit
196,12/22/2017,Downsizing,"$68,000,000","$24,449,754","$39,897,498",64347252.0,Loss
197,3/14/2014,Need for Speed,"$66,000,000","$43,568,507","$194,169,619",237738126.0,Profit
198,12/25/2014,Unbroken,"$65,000,000","$115,637,895","$163,527,824",279165719.0,Profit
199,6/5/2015,Spy!,"$65,000,000","$110,825,712","$233,125,712",343951424.0,Profit
200,12/19/2014,Annie,"$65,000,000","$85,911,262","$139,840,525",225751787.0,Profit
201,8/12/2016,Peteâs Dragon,"$65,000,000","$76,233,151","$137,768,975",214002126.0,Profit
202,2/27/2015,Focus,"$65,000,000","$53,862,963","$159,062,963",212925926.0,Profit
203,9/18/2015,Everest,"$65,000,000","$43,482,270","$221,835,496",265317766.0,Profit
204,1/24/2014,"I, Frankenstein","$65,000,000","$19,075,290","$74,575,290",93650580.0,Profit
205,8/22/2014,Sin City: A Dame to Kill For,"$65,000,000","$13,757,804","$39,499,349",53257153.0,Loss
206,12/25/2016,Live by Night,"$65,000,000","$10,378,555","$21,778,555",32157110.0,Loss
207,9/4/2015,Tian jiang xiong shi,"$65,000,000","$74,070","$122,519,874",122593944.0,Profit
208,12/25/2015,The Hateful Eight,"$62,000,000","$54,117,416","$145,443,360",199560776.0,Profit
209,10/3/2014,Gone Girl,"$61,000,000","$167,767,189","$368,567,189",536334378.0,Profit
210,9/18/2015,Maze Runner: The Scorch Trials,"$61,000,000","$81,697,192","$310,697,192",392394384.0,Profit
211,8/2/2013,2 Guns,"$61,000,000","$75,612,460","$132,493,015",208105475.0,Profit
212,1/26/2018,Maze Runner: The Death Cure,"$61,000,000","$58,032,443","$283,811,921",341844364.0,Profit
213,2/19/2016,Mei Ren Yu,"$60,720,000","$3,229,457","$552,198,479",555427936.0,Profit
214,2/7/2014,The Lego Movie,"$60,000,000","$257,784,718","$457,729,388",715514106.0,Profit
215,9/9/2016,Sully,"$60,000,000","$125,070,033","$238,552,082",363622115.0,Profit
216,3/4/2016,London Has Fallen,"$60,000,000","$62,524,260","$193,857,962",256382222.0,Profit
217,10/21/2016,Jack Reacher: Never Go Back,"$60,000,000","$58,697,076","$160,038,407",218735483.0,Profit
218,5/25/2017,Baywatch,"$60,000,000","$58,060,186","$176,533,570",234593756.0,Profit
219,12/25/2015,Joy,"$60,000,000","$56,451,232","$101,134,059",157585291.0,Profit
220,9/26/2014,The Boxtrolls,"$60,000,000","$50,837,305","$111,946,251",162783556.0,Profit
221,8/4/2017,The Dark Tower,"$60,000,000","$50,701,325","$113,019,314",163720639.0,Profit
222,1/17/2014,Jack Ryan: Shadow Recruit,"$60,000,000","$50,577,412","$131,377,412",181954824.0,Profit
223,1/11/2013,Gangster Squad,"$60,000,000","$46,000,903","$104,100,903",150101806.0,Profit
224,4/7/2017,Smurfs: The Lost Village,"$60,000,000","$45,020,282","$197,275,045",242295327.0,Profit
225,8/21/2013,The Mortal Instruments: City of Bones,"$60,000,000","$31,165,421","$75,965,567",107130988.0,Profit
226,2/14/2014,Winter's Tale,"$60,000,000","$12,600,231","$22,468,620",35068851.0,Loss
227,2/24/2017,Rock Dog,"$60,000,000","$9,420,546","$21,298,773",30719319.0,Loss
228,1/23/2015,Mortdecai,"$60,000,000","$7,696,134","$30,396,134",38092268.0,Loss
229,2/5/2016,Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,"$60,000,000","$709,982","$194,058,503",194768485.0,Profit
230,3/23/2018,Sherlock Gnomes,"$59,000,000","$42,996,427","$76,587,146",119583573.0,Profit
231,2/12/2016,Deadpool,"$58,000,000","$363,070,709","$801,029,249",1164099958.0,Profit
232,12/25/2014,American Sniper,"$58,000,000","$350,126,372","$547,326,372",897452744.0,Profit
233,10/16/2015,Goosebumps,"$58,000,000","$80,069,458","$158,905,324",238974782.0,Profit
234,6/7/2013,The Internship,"$58,000,000","$44,672,764","$93,672,764",138345528.0,Profit
235,3/24/2017,Life,"$58,000,000","$30,234,022","$101,003,310",131237332.0,Profit
236,12/25/2014,Into the Woods,"$56,200,000","$128,002,372","$203,502,372",331504744.0,Profit
237,1/22/2016,Zhuo yao ji,"$56,000,000","$32,766","$386,152,042",386184808.0,Profit
238,2/10/2017,Fifty Shades Darker,"$55,000,000","$114,434,010","$381,081,967",495515977.0,Profit
239,10/11/2013,Captain Phillips,"$55,000,000","$107,136,417","$220,648,184",327784601.0,Profit
240,11/10/2017,Murder on the Orient Express,"$55,000,000","$102,826,543","$349,213,586",452040129.0,Profit
241,9/26/2014,The Equalizer,"$55,000,000","$101,530,738","$192,903,624",294434362.0,Profit
242,2/9/2018,Fifty Shades Freed,"$55,000,000","$100,407,760","$370,527,704",470935464.0,Profit
243,1/16/2015,Paddington,"$55,000,000","$76,223,578","$259,541,430",335765008.0,Profit
244,11/1/2013,Free Birds,"$55,000,000","$55,750,480","$110,387,072",166137552.0,Profit
245,3/21/2014,Muppets Most Wanted,"$55,000,000","$51,178,893","$79,312,301",130491194.0,Profit
246,8/19/2016,Kubo and the Two Strings,"$55,000,000","$48,023,088","$77,548,564",125571652.0,Profit
247,2/23/2018,Annihilation,"$55,000,000","$32,732,301","$42,872,301",75604602.0,Profit
248,10/16/2015,Crimson Peak,"$55,000,000","$31,090,320","$75,466,595",106556915.0,Profit
249,2/1/2013,Bullet to the Head,"$55,000,000","$9,489,829","$22,597,969",32087798.0,Loss
250,9/18/2015,Black Mass,"$53,000,000","$62,575,678","$98,837,872",161413550.0,Profit
251,6/13/2014,22 Jump Street,"$50,000,000","$191,719,337","$331,333,876",523053213.0,Profit
252,12/25/2015,Daddyâs Home,"$50,000,000","$150,357,137","$242,757,137",393114274.0,Profit
253,6/17/2016,Central Intelligence,"$50,000,000","$127,440,871","$217,196,811",344637682.0,Profit
254,12/18/2013,Anchorman 2: The Legend Continues,"$50,000,000","$127,352,707","$172,185,754",299538461.0,Profit
255,2/9/2018,Peter Rabbit,"$50,000,000","$115,187,069","$347,087,069",462274138.0,Profit
256,2/28/2014,Non-Stop,"$50,000,000","$91,742,160","$222,383,055",314125215.0,Profit
257,8/9/2013,Disney Planes,"$50,000,000","$90,282,580","$238,059,569",328342149.0,Profit
258,7/28/2017,The Emoji Movie,"$50,000,000","$86,089,513","$216,807,812",302897325.0,Profit
259,12/22/2017,The Post,"$50,000,000","$81,903,458","$177,658,857",259562315.0,Profit
260,7/18/2014,Planes: Fire and Rescue,"$50,000,000","$59,157,732","$156,399,644",215557376.0,Profit
261,1/25/2013,Hansel & Gretel: Witch Hunters,"$50,000,000","$55,703,475","$214,949,716",270653191.0,Profit
262,1/15/2016,13 Hours: The Secret Soldiers of Benghazi,"$50,000,000","$52,853,219","$69,411,370",122264589.0,Profit
263,9/29/2017,American Made,"$50,000,000","$51,342,000","$135,581,390",186923390.0,Profit
264,10/17/2014,The Book of Life,"$50,000,000","$50,151,543","$97,651,543",147803086.0,Profit
265,8/8/2014,Into the Storm,"$50,000,000","$47,602,194","$150,429,371",198031565.0,Profit
266,10/10/2014,The Judge,"$50,000,000","$47,119,388","$76,119,388",123238776.0,Profit
267,8/19/2016,War Dogs,"$50,000,000","$43,034,523","$83,034,523",126069046.0,Profit
268,5/20/2016,The Nice Guys,"$50,000,000","$36,261,763","$57,261,763",93523526.0,Profit
269,2/12/2016,Zoolander 2,"$50,000,000","$28,848,693","$55,348,693",84197386.0,Profit
270,3/29/2013,The Host,"$50,000,000","$26,623,701","$64,477,051",91100752.0,Profit
271,3/13/2015,Run All Night,"$50,000,000","$26,461,644","$66,961,644",93423288.0,Profit
272,9/16/2016,Snowden,"$50,000,000","$21,587,519","$34,301,950",55889469.0,Profit
